  wn	             sow(s)	          rcvr_x(m)	          rcvr_y(m)	          rcvr_z(m)	       rcvr_vx(m/s)	       rcvr_vy(m/s)	       rcvr_vz(m/s)	     rcvr_ax(m/s^2)	     rcvr_ay(m/s^2)	     rcvr_az(m/s^2)	     jerk_ax(m/s^3)	     jerk_ay(m/s^3)	     jerk_az(m/s^3)	         longitude(rad)	          latitude(rad)	        altitude(m)	         pitch(deg)	          roll(deg)	           yaw(deg)	        distacne(m)	     elevation(deg)	       azimuth(deg)	
 756	         487974.300	-2178348.3715940039	 4381939.4730667388	 4077088.3111148318	      -9.5921581140	      -4.8848122093	       0.1635477414	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213703023007	       0.69794098644239	      50.1776862880	       0.1320190430	       0.0000000000	      88.9825820923	     161.7644804886	       0.1347198486	      88.9761276245	
 756	         487974.400	-2178349.3334592436	 4381938.9832362924	 4077088.3275147807	      -9.6510342727	      -4.9147950096	       0.1645515840	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213725079824	       0.69794098947290	      50.1802204037	       0.1320343018	       0.0000000000	      88.9825820923	     162.8440116669	       0.1347274780	      88.9761428833	
 756	         487974.500	-2178350.3012121008	 4381938.4904075721	 4077088.3440151140	      -9.7099104313	      -4.9447776648	       0.1655554266	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213747271651	       0.69794099252193	      50.1827702150	       0.1320343018	       0.0000000000	      88.9825897217	     163.9301507004	       0.1347351074	      88.9761505127	
 756	         487974.600	-2178351.2748524561	 4381937.9945805799	 4077088.3606158318	      -9.7687985181	      -4.9747603926	       0.1665593417	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213769598488	       0.69794099558949	      50.1853356846	       0.1320495605	       0.0000000000	      88.9826049805	     165.0228975895	       0.1347427368	      88.9761657715	
 756	         487974.700	-2178352.2543806667	 4381937.4957553158	 4077088.3773169345	      -9.8276628212	      -5.0047431929	       0.1675631117	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213792060339	       0.69794099867556	      50.1879169401	       0.1320571899	       0.0000000000	      88.9826126099	     166.1222523333	       0.1347579956	      88.9761810303	
 756	         487974.800	-2178353.2397963754	 4381936.9939317787	 4077088.3941184222	      -9.8865389799	      -5.0347258481	       0.1685669543	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213814657199	       0.69794100178017	      50.1905138586	       0.1320724487	       0.0000000000	      88.9826202393	     167.2282149332	       0.1347656250	      88.9761886597	
 756	         487974.900	-2178354.2310995823	 4381936.4891099678	 4077088.4110202943	      -9.9454270666	      -5.0647085034	       0.1695708695	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213837389068	       0.69794100490330	      50.1931264438	       0.1320800781	       0.0000000000	      88.9826278687	     168.3407853886	       0.1347732544	      88.9761962891	
 756	         487975.000	-2178355.2282906449	 4381935.9812898859	 4077088.4280225514	     -10.0042913335	      -5.0946913761	       0.1705747121	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213860255951	       0.69794100804495	      50.1957548242	       0.1320953369	       0.0000000000	      88.9826431274	     169.4599636980	       0.1347732544	      88.9762115479	
 756	         487975.100	-2178356.2313692048	 4381935.4704715312	 4077088.4451251929	     -10.0631675285	      -5.1246740314	       0.1715784821	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213883257844	       0.69794101120513	      50.1983988816	       0.1320953369	       0.0000000000	      88.9826431274	     170.5857498638	       0.1347885132	      88.9762191772	
 756	         487975.200	-2178357.2403353830	 4381934.9566549025	 4077088.4623282198	     -10.1220436871	      -5.1546567592	       0.1725823247	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213906394747	       0.69794101438382	      50.2010586578	       0.1321105957	       0.0000000000	      88.9826507568	     171.7181438852	       0.1347961426	      88.9762344360	
